Ik eet morgen rijst.	I will eat rice tomorrow.
Ik vind konijnen schattig.	I think rabbits are cute.
Kun je dat herhalen alsjeblieft?	Can you please repeat that?
Sorry , ik heb je niet verstaan.	Sorry, I did not understand you.
Jij ziet er mooi uit vandaag.	You look good today.
Ik ga morgen boodschappen doen op de fiets.	I'm going to get groceries by bike.
Mijn telefoon is kapot.	My phone is broken.
Wat eten jullie vanavond?	What are you all eating tonight?
Wat gaan jullie vanavond eten?	What are you all going to eat tonight?
Ik eet altijd brood met hagelslag voor ontbijt.	I always eat bread with hagelslag for breakfast.
Weet u hoe laat de bus aankomt?	Do you know how late the bus arrives?
